wxDVFileHeaderVer.1
base (2) - Energy Use| Total,base (2) - Energy Use| Net,base (2) - Fuel Use| Electricity: Total,base (2) - Fuel Use| Electricity: Net,base (2) - Fuel Use| Natural Gas: Total,base (2) - End Use| Electricity: Heating,base (2) - End Use| Electricity: Heating Fans/Pumps,base (2) - End Use| Electricity: Heating Heat Pump Backup,base (2) - End Use| Electricity: Heating Heat Pump Backup Fans/Pumps,base (2) - End Use| Electricity: Cooling,base (2) - End Use| Electricity: Cooling Fans/Pumps,base (2) - End Use| Electricity: Lighting Interior,base (2) - End Use| Electricity: Lighting Garage,base (2) - End Use| Electricity: Lighting Exterior,base (2) - End Use| Electricity: Mech Vent,base (2) - End Use| Electricity: Refrigerator,base (2) - End Use| Electricity: Dishwasher,base (2) - End Use| Electricity: Clothes Washer,base (2) - End Use| Electricity: Clothes Dryer,base (2) - End Use| Electricity: Range/Oven,base (2) - End Use| Electricity: Television,base (2) - End Use| Electricity: Plug Loads,base (2) - End Use| Electricity: Battery,base (2) - End Use| Natural Gas: Hot Water,base (2) - Emissions| CO2e: BEopt: Total,base (2) - Emissions| CO2e: BEopt: Net,base (2) - Emissions| CO2e: BEopt: Electricity: Total,base (2) - Emissions| CO2e: BEopt: Electricity: Net,base (2) - Emissions| CO2e: BEopt: Natural Gas: Total,base (2) - Emissions| CO2e: BEopt: Electricity: Heating,base (2) - Emissions| CO2e: BEopt: Electricity: Heating Fans/Pumps,base (2) - Emissions| CO2e: BEopt: Electricity: Heating Heat Pump Backup,base (2) - Emissions| CO2e: BEopt: Electricity: Heating Heat Pump Backup Fans/Pumps,base (2) - Emissions| CO2e: BEopt: Electricity: Cooling,base (2) - Emissions| CO2e: BEopt: Electricity: Cooling Fans/Pumps,base (2) - Emissions| CO2e: BEopt: Electricity: Lighting Interior,base (2) - Emissions| CO2e: BEopt: Electricity: Lighting Garage,base (2) - Emissions| CO2e: BEopt: Electricity: Lighting Exterior,base (2) - Emissions| CO2e: BEopt: Electricity: Mech Vent,base (2) - Emissions| CO2e: BEopt: Electricity: Refrigerator,base (2) - Emissions| CO2e: BEopt: Electricity: Dishwasher,base (2) - Emissions| CO2e: BEopt: Electricity: Clothes Washer,base (2) - Emissions| CO2e: BEopt: Electricity: Clothes Dryer,base (2) - Emissions| CO2e: BEopt: Electricity: Range/Oven,base (2) - Emissions| CO2e: BEopt: Electricity: Television,base (2) - Emissions| CO2e: BEopt: Electricity: Plug Loads,base (2) - Emissions| CO2e: BEopt: Electricity: Battery,base (2) - Emissions| CO2e: BEopt: Natural Gas: Hot Water,base (2) - Hot Water| Clothes Washer,base (2) - Hot Water| Dishwasher,base (2) - Hot Water| Fixtures,base (2) - Hot Water| Distribution Waste,base (2) - Load| Heating: Delivered,base (2) - Load| Heating: Heat Pump Backup,base (2) - Load| Cooling: Delivered,base (2) - Load| Hot Water: Delivered,base (2) - Load| Hot Water: Tank Losses,base (2) - Component Load| Heating: Roofs,base (2) - Component Load| Heating: Ceilings,base (2) - Component Load| Heating: Walls,base (2) - Component Load| Heating: Doors,base (2) - Component Load| Heating: Windows Conduction,base (2) - Component Load| Heating: Windows Solar,base (2) - Component Load| Heating: Floors,base (2) - Component Load| Heating: Internal Mass,base (2) - Component Load| Heating: Infiltration,base (2) - Component Load| Heating: Mechanical Ventilation,base (2) - Component Load| Heating: Ducts,base (2) - Component Load| Heating: Internal Gains,base (2) - Component Load| Heating: Lighting,base (2) - Component Load| Cooling: Roofs,base (2) - Component Load| Cooling: Ceilings,base (2) - Component Load| Cooling: Walls,base (2) - Component Load| Cooling: Doors,base (2) - Component Load| Cooling: Windows Conduction,base (2) - Component Load| Cooling: Windows Solar,base (2) - Component Load| Cooling: Floors,base (2) - Component Load| Cooling: Internal Mass,base (2) - Component Load| Cooling: Infiltration,base (2) - Component Load| Cooling: Natural Ventilation,base (2) - Component Load| Cooling: Mechanical Ventilation,base (2) - Component Load| Cooling: Ducts,base (2) - Component Load| Cooling: Internal Gains,base (2) - Component Load| Cooling: Lighting,base (2) - Unmet Hours| Heating,base (2) - Unmet Hours| Cooling,base (2) - Unmet Hours| EV Driving,base (2) - Temperature| Garage,base (2) - Temperature| Conditioned Space,base (2) - Temperature| Basement - Unconditioned,base (2) - Temperature| Attic - Vented,base (2) - Temperature| Crawlspace - Unvented,base (2) - Temperature| Heating Setpoint,base (2) - Temperature| Cooling Setpoint,base (2) - Airflow| Infiltration,base (2) - Airflow| Mechanical Ventilation,base (2) - Airflow| Natural Ventilation,base (2) - Weather| Drybulb Temperature,base (2) - Weather| Wetbulb Temperature,base (2) - Weather| Relative Humidity,base (2) - Weather| Wind Speed,base (2) - Weather| Diffuse Solar Radiation,base (2) - Weather| Direct Solar Radiation,base (2) - Resilience| Battery
8.134,8.134,1.954,1.954,1.468,0.0,0.0,0.0,0.0,0.848,0.249,0.327,0.015,0.022,0.032,0.06,0.014,0.005,0.08,0.027,0.063,0.212,0.0,1.468,1.6702,1.6702,1.4984,1.4984,0.1718,0.0,0.0,0.0,0.0,0.65022,0.19093,0.2509,0.01183,0.01716,0.02418,0.04593,0.01052,0.00384,0.06131,0.02102,0.04818,0.16236,0.0,0.1718,0.114,0.147,1.048,0.36,0.0,0.0,12.678,0.637,0.141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.185,0.317,4.093,0.007,-0.21,-0.003,1.067,0.459,0.008,0.0,0.29,1.752,1.581,1.116,0.0,0.0,0.0,88.832,76.0,76.514,87.445,85.151,71.0,76.0,2.694,95.505,0.0,78.98,65.353,49.0,4.698,0.0,0.0,0.0
5.272,5.272,1.545,1.545,0.0,0.0,0.0,0.0,0.0,0.71,0.212,0.166,0.01,0.019,0.032,0.057,0.009,0.003,0.065,0.018,0.056,0.188,0.0,0.0,1.18503,1.18503,1.18503,1.18503,0.0,0.0,0.0,0.0,0.0,0.5446,0.16264,0.12704,0.00777,0.01478,0.02418,0.04393,0.00691,0.00262,0.04996,0.01345,0.04282,0.14432,0.0,0.0,0.078,0.096,0.733,0.252,0.0,0.0,10.82,0.447,0.152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.889,0.303,3.267,-0.004,-0.248,-0.002,1.145,0.775,0.005,0.0,0.201,1.58,1.347,0.565,0.0,0.0,0.0,87.267,76.0,76.654,84.195,85.081,71.0,76.0,2.262,94.503,0.0,78.08,64.921,50.0,4.698,0.0,0.0,0.0
5.495,5.495,1.184,1.184,1.456,0.0,0.0,0.0,0.0,0.554,0.172,0.075,0.006,0.016,0.032,0.053,0.006,0.002,0.036,0.012,0.05,0.169,0.0,1.456,1.07828,1.07828,0.90794,0.90794,0.17034,0.0,0.0,0.0,0.0,0.42497,0.13227,0.05717,0.00481,0.01241,0.02418,0.04094,0.00487,0.00139,0.02725,0.00925,0.03854,0.12989,0.0,0.17034,0.041,0.068,0.537,0.185,0.0,0.0,8.828,0.317,0.153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.538,0.273,2.522,-0.01,-0.392,-0.001,1.205,0.977,-0.0,0.0,-0.008,1.364,1.107,0.254,0.0,0.0,0.0,85.967,76.0,76.836,81.315,84.997,71.0,76.0,1.255,92.499,0.0,75.92,64.303,54.0,3.355,0.0,0.0,0.0
3.364,3.364,0.986,0.986,0.0,0.0,0.0,0.0,0.0,0.452,0.143,0.05,0.004,0.014,0.032,0.052,0.003,0.001,0.015,0.008,0.049,0.165,0.0,0.0,0.7561,0.7561,0.7561,0.7561,0.0,0.0,0.0,0.0,0.0,0.34654,0.10985,0.03811,0.00284,0.01056,0.02418,0.03994,0.00236,0.00074,0.01135,0.00589,0.03747,0.12628,0.0,0.0,0.022,0.033,0.279,0.096,0.0,0.0,7.336,0.165,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.167,0.23,1.847,-0.016,-0.421,-0.0,1.235,1.009,-0.002,0.0,-0.092,1.127,1.086,0.17,0.0,0.0,0.0,84.895,76.0,77.064,78.874,84.905,71.0,76.0,1.597,91.097,0.0,75.02,64.661,58.0,4.698,0.0,0.0,0.0
2.688,2.688,0.788,0.788,0.0,0.0,0.0,0.0,0.0,0.318,0.11,0.041,0.003,0.013,0.032,0.051,0.001,0.001,0.009,0.008,0.046,0.155,0.0,0.0,0.60425,0.60425,0.60425,0.60425,0.0,0.0,0.0,0.0,0.0,0.24421,0.08429,0.03176,0.00234,0.00977,0.02418,0.03894,0.0011,0.00057,0.00681,0.00589,0.03533,0.11906,0.0,0.0,0.017,0.015,0.126,0.043,0.0,0.0,5.67,0.078,0.168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.873,0.194,1.33,-0.022,-0.715,-0.0,1.277,1.077,-0.012,0.0,-0.463,0.949,1.045,0.141,0.0,0.0,0.0,83.91,76.0,77.287,76.124,84.793,71.0,76.0,2.323,90.696,0.0,71.06,63.784,68.0,0.0,0.0,0.0,0.0
21.373,21.373,6.264,6.264,0.0,0.0,0.0,0.0,0.0,0.272,0.092,0.041,0.002,0.013,0.032,0.049,0.001,0.0,0.006,0.004,0.045,0.151,5.555,0.0,4.80424,4.80424,4.80424,4.80424,0.0,0.0,0.0,0.0,0.0,0.20872,0.07061,0.03176,0.00185,0.00977,0.02418,0.03794,0.00079,0.00033,0.00454,0.00336,0.03426,0.11545,4.26069,0.0,0.01,0.011,0.076,0.026,0.0,0.0,4.73,0.047,0.169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.15,0.799,-0.03,-0.584,-0.0,1.288,1.019,-0.008,0.0,-0.377,0.743,1.012,0.141,0.0,0.0,0.0,82.994,76.0,77.535,74.008,84.683,71.0,76.0,1.808,90.496,0.0,71.96,63.586,64.0,0.0,0.0,0.0,6.0
17.973,17.973,5.267,5.267,0.0,0.0,0.0,0.0,0.0,0.213,0.073,0.041,0.003,0.012,0.032,0.048,0.001,0.0,0.003,0.004,0.043,0.146,4.648,0.0,4.04013,4.04013,4.04013,4.04013,0.0,0.0,0.0,0.0,0.0,0.16313,0.05631,0.03176,0.0021,0.00924,0.02418,0.03694,0.00047,0.00033,0.00227,0.00336,0.03319,0.11185,3.565,0.0,0.01,0.007,0.127,0.044,0.0,0.0,3.768,0.072,0.169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.115,0.361,-0.032,-0.599,-0.0,1.306,1.011,-0.015,0.0,-0.461,0.628,0.978,0.141,0.0,0.0,0.0,82.739,76.0,77.766,72.608,84.559,71.0,76.0,2.993,90.295,0.0,71.06,63.784,68.0,5.816,0.0,0.0,9.0
4.009,4.009,0.749,0.749,1.452,0.0,0.0,0.0,0.0,0.171,0.059,0.046,0.003,0.012,0.032,0.047,0.001,0.001,0.006,0.008,0.045,0.151,0.17,1.452,0.74468,0.74468,0.57482,0.57482,0.16986,0.0,0.0,0.0,0.0,0.13134,0.04533,0.03494,0.00259,0.00924,0.02418,0.03594,0.00047,0.00057,0.00454,0.00589,0.03426,0.11545,0.13007,0.16986,0.017,0.007,0.355,0.122,0.0,0.0,3.024,0.193,0.178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.123,0.082,0.024,-0.032,-0.65,-0.0,1.318,0.98,-0.013,0.0,-0.462,0.506,0.996,0.155,0.0,0.0,0.0,82.525,76.0,77.978,71.643,84.43,71.0,76.0,2.525,90.496,0.0,71.06,62.789,64.0,4.698,0.0,0.0,8.0
3.511,3.511,0.597,0.597,1.472,0.0,0.0,0.0,0.0,0.149,0.051,0.075,0.005,0.013,0.032,0.047,0.002,0.001,0.009,0.012,0.046,0.155,0.0,1.472,0.63052,0.63052,0.45826,0.45826,0.17226,0.0,0.0,0.0,0.0,0.11443,0.03949,0.05717,0.00382,0.0103,0.02418,0.03594,0.00157,0.0009,0.00681,0.00925,0.03533,0.11906,0.0,0.17226,0.027,0.022,1.329,0.457,0.0,0.0,2.625,0.702,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.069,0.048,-0.261,-0.033,-0.628,-0.001,1.313,0.874,-0.017,0.0,-0.463,0.41,1.2,0.254,0.0,0.0,0.0,81.782,76.0,78.172,70.86,84.31,71.0,76.0,3.338,90.696,0.0,71.06,62.792,64.0,6.935,0.0,0.0,8.0
3.897,3.897,0.7,0.7,1.51,0.0,0.0,0.0,0.0,0.141,0.049,0.124,0.007,0.015,0.032,0.049,0.004,0.002,0.024,0.027,0.052,0.174,0.0,1.51,0.71319,0.71319,0.53653,0.53653,0.17666,0.0,0.0,0.0,0.0,0.10788,0.03722,0.09528,0.00518,0.01162,0.02418,0.03794,0.00314,0.0018,0.01817,0.02102,0.03961,0.13349,0.0,0.17666,0.053,0.044,2.987,1.027,0.0,0.0,2.467,1.588,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.228,0.017,-0.497,-0.033,-0.62,-0.001,1.298,0.734,-0.02,0.0,-0.468,0.359,1.505,0.424,0.0,0.0,0.0,81.001,76.0,78.331,70.316,84.196,71.0,76.0,3.907,91.698,0.0,71.06,63.29,66.0,8.053,0.0,0.0,7.0
5.803,5.803,0.814,0.814,3.024,0.0,0.0,0.0,0.0,0.143,0.048,0.157,0.007,0.014,0.032,0.052,0.006,0.005,0.047,0.046,0.059,0.198,0.0,3.024,0.97846,0.97846,0.62461,0.62461,0.35385,0.0,0.0,0.0,0.0,0.10979,0.0371,0.12069,0.00505,0.01082,0.02418,0.03994,0.00487,0.00401,0.03633,0.03532,0.04497,0.15153,0.0,0.35385,0.119,0.068,2.988,1.027,0.0,0.0,2.447,1.609,0.181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.404,-0.021,-0.748,-0.029,-0.348,0.381,1.231,0.453,-0.012,0.0,-0.389,0.34,1.458,0.537,0.0,0.0,0.0,80.755,76.0,78.45,70.642,84.096,71.0,76.0,2.889,93.301,0.0,71.96,64.091,66.0,6.935,8.559,42.161,7.0
4.531,4.531,0.888,0.888,1.5,0.0,0.0,0.0,0.0,0.161,0.053,0.17,0.005,0.011,0.032,0.053,0.012,0.008,0.071,0.05,0.06,0.202,0.0,1.5,0.85685,0.85685,0.6813,0.6813,0.17554,0.0,0.0,0.0,0.0,0.12343,0.04073,0.13021,0.00419,0.00818,0.02418,0.04094,0.00911,0.00597,0.0545,0.03868,0.04604,0.15514,0.0,0.17554,0.177,0.127,2.405,0.827,0.0,0.0,2.671,1.366,0.185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.56,-0.056,-0.902,-0.016,0.027,1.014,1.135,0.122,-0.005,0.0,-0.289,0.339,1.285,0.579,0.0,0.0,0.0,81.544,76.0,78.533,72.989,84.023,71.0,76.0,1.599,94.904,0.0,73.04,65.055,66.0,4.698,19.02,165.473,6.0
4.866,4.866,0.99,0.99,1.49,0.0,0.0,0.0,0.0,0.216,0.067,0.17,0.005,0.009,0.032,0.053,0.013,0.009,0.101,0.053,0.06,0.202,0.0,1.49,0.93336,0.93336,0.75907,0.75907,0.17429,0.0,0.0,0.0,0.0,0.16596,0.05161,0.13021,0.00358,0.0066,0.02418,0.04094,0.01021,0.00703,0.07721,0.04036,0.04604,0.15514,0.0,0.17429,0.209,0.142,1.879,0.646,0.0,0.0,3.353,1.108,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.634,-0.079,-0.785,-0.001,0.425,1.375,1.073,-0.162,-0.0,0.0,-0.008,0.372,1.199,0.579,0.0,0.0,0.0,83.681,76.0,78.59,78.475,84.003,71.0,76.0,0.81,96.908,0.0,75.92,66.541,62.0,4.698,28.213,222.85,5.0
5.343,5.343,1.132,1.132,1.481,0.0,0.0,0.0,0.0,0.335,0.095,0.161,0.004,0.008,0.032,0.052,0.011,0.009,0.115,0.046,0.06,0.202,0.0,1.481,1.04141,1.04141,0.86811,0.86811,0.1733,0.0,0.0,0.0,0.0,0.25687,0.07287,0.12386,0.00333,0.00634,0.02418,0.03994,0.00879,0.00687,0.08857,0.03532,0.04604,0.15514,0.0,0.1733,0.204,0.123,1.526,0.525,0.0,0.0,4.675,0.914,0.171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.571,-0.088,-0.363,0.012,0.902,1.499,1.021,-0.458,0.016,0.0,0.492,0.468,1.191,0.551,0.0,0.0,0.0,86.743,76.0,78.613,85.911,84.049,71.0,76.0,3.192,97.91,0.0,80.96,68.547,54.0,6.935,35.504,251.063,5.0
5.932,5.932,1.307,1.307,1.473,0.0,0.0,0.0,0.0,0.47,0.126,0.153,0.004,0.008,0.032,0.052,0.01,0.008,0.12,0.055,0.061,0.207,0.0,1.473,1.17463,1.17463,1.00231,1.00231,0.17232,0.0,0.0,0.0,0.0,0.36076,0.09696,0.11751,0.00308,0.00634,0.02418,0.03994,0.00754,0.00613,0.09197,0.04204,0.04711,0.15875,0.0,0.17232,0.182,0.105,1.2,0.413,0.0,0.0,6.186,0.728,0.158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.34,-0.081,0.339,0.031,1.23,1.573,0.972,-0.767,0.033,0.0,0.793,0.652,1.228,0.523,0.0,0.0,0.0,89.76,76.0,78.546,93.349,84.149,71.0,76.0,4.024,98.21,0.0,84.02,70.148,51.0,5.816,66.57,207.634,4.0
5.18,5.18,1.518,1.518,0.0,0.0,0.0,0.0,0.0,0.644,0.164,0.149,0.003,0.009,0.032,0.055,0.008,0.007,0.11,0.062,0.063,0.212,0.0,0.0,1.16442,1.16442,1.16442,1.16442,0.0,0.0,0.0,0.0,0.0,0.49401,0.12611,0.11433,0.00259,0.00686,0.02418,0.04194,0.00644,0.00548,0.08402,0.04793,0.04818,0.16236,0.0,0.0,0.163,0.09,0.864,0.297,0.0,0.0,8.017,0.544,0.147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039,-0.052,1.28,0.054,1.459,1.602,0.909,-1.044,0.055,0.0,1.081,0.857,1.267,0.509,0.0,0.0,0.0,91.989,76.0,78.383,100.65,84.283,71.0,76.0,4.888,97.509,0.0,87.08,71.644,48.0,3.355,71.959,213.34,4.0
7.353,7.353,1.727,1.727,1.462,0.0,0.0,0.0,0.0,0.836,0.207,0.145,0.003,0.01,0.032,0.055,0.009,0.006,0.099,0.05,0.063,0.212,0.0,1.462,1.49539,1.49539,1.32438,1.32438,0.17102,0.0,0.0,0.0,0.0,0.64094,0.15849,0.11116,0.00259,0.00766,0.02418,0.04194,0.00722,0.00491,0.07608,0.03868,0.04818,0.16236,0.0,0.17102,0.146,0.101,0.736,0.253,0.0,0.0,10.083,0.476,0.137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.503,-0.009,2.346,0.072,1.705,1.743,0.836,-1.31,0.107,0.0,1.263,1.099,1.233,0.495,0.0,0.0,0.0,93.331,76.0,78.138,105.67,84.442,71.0,76.0,8.157,96.807,0.0,89.06,71.037,42.0,9.171,65.619,255.501,4.0
6.757,6.757,1.98,1.98,0.0,0.0,0.0,0.0,0.0,1.048,0.251,0.153,0.003,0.011,0.032,0.055,0.007,0.005,0.084,0.062,0.061,0.207,0.0,0.0,1.51881,1.51881,1.51881,1.51881,0.0,0.0,0.0,0.0,0.0,0.80369,0.19255,0.11751,0.00259,0.00818,0.02418,0.04194,0.00565,0.00401,0.06472,0.04793,0.04711,0.15875,0.0,0.0,0.119,0.079,0.662,0.228,0.0,0.0,12.284,0.418,0.131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.036,0.048,3.349,0.083,1.899,1.877,0.787,-1.487,0.104,0.0,1.435,1.361,1.266,0.523,0.0,0.0,0.0,94.309,76.0,77.839,111.362,84.632,71.0,76.0,6.923,95.806,0.0,91.04,68.923,33.0,0.0,84.005,217.778,3.0
8.672,8.672,2.114,2.114,1.459,0.0,0.0,0.0,0.0,1.127,0.284,0.17,0.004,0.012,0.032,0.053,0.008,0.006,0.09,0.048,0.064,0.216,0.0,1.459,1.79224,1.79224,1.62158,1.62158,0.17065,0.0,0.0,0.0,0.0,0.86456,0.21755,0.13021,0.00321,0.00924,0.02418,0.04094,0.00597,0.00425,0.06926,0.037,0.04925,0.16596,0.0,0.17065,0.126,0.083,0.636,0.219,0.0,0.0,14.095,0.409,0.128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.564,0.111,4.362,0.093,1.866,2.147,0.727,-1.597,0.149,0.0,1.151,1.627,1.323,0.579,0.0,0.0,0.0,94.827,76.002,77.485,110.561,84.838,71.0,76.0,12.403,96.206,0.0,87.98,70.178,42.0,13.869,90.979,155.329,3.0
-10.893,-10.893,-3.192,-3.192,0.0,0.0,0.0,0.0,0.0,1.245,0.313,0.207,0.005,0.015,0.032,0.057,0.008,0.005,0.081,0.101,0.067,0.226,-5.555,0.0,-2.44853,-2.44853,-2.44853,-2.44853,0.0,0.0,0.0,0.0,0.0,0.955,0.24036,0.1588,0.00382,0.01162,0.02418,0.04393,0.00597,0.00409,0.06245,0.07736,0.05139,0.17318,-4.26068,0.0,0.121,0.083,0.763,0.262,0.0,0.0,15.733,0.473,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.126,0.187,5.191,0.084,1.571,1.844,0.765,-1.417,0.1,0.0,1.144,1.828,1.594,0.706,0.0,0.0,0.0,94.682,76.002,77.146,107.488,85.044,71.0,76.0,8.332,95.605,0.0,87.98,70.178,42.0,9.171,106.511,45.331,1.0
-3.851,-3.851,-1.558,-1.558,1.466,0.0,0.0,0.0,0.0,1.339,0.342,0.269,0.007,0.019,0.032,0.062,0.01,0.005,0.08,0.164,0.073,0.245,-4.206,1.466,-1.02368,-1.02368,-1.19524,-1.19524,0.17156,0.0,0.0,0.0,0.0,1.02714,0.26232,0.20644,0.00542,0.01478,0.02418,0.04793,0.00769,0.00401,0.06131,0.12613,0.05567,0.18761,-3.22588,0.17156,0.119,0.107,0.989,0.34,0.0,0.0,17.394,0.6,0.127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.362,0.225,5.297,0.076,1.777,2.497,0.631,-1.476,0.09,0.0,1.061,2.001,1.926,0.918,0.0,0.0,0.0,94.74,76.001,76.852,105.037,85.214,71.0,76.0,8.11,95.505,0.0,87.08,68.734,40.0,9.171,56.426,169.277,0.0
11.5,11.5,2.94,2.94,1.469,0.0,0.0,0.0,0.0,1.38,0.353,0.356,0.014,0.022,0.032,0.065,0.018,0.005,0.076,0.128,0.074,0.249,0.169,1.469,2.42668,2.42668,2.25479,2.25479,0.17188,0.0,0.0,0.0,0.0,1.05842,0.27041,0.27313,0.01036,0.0169,0.02418,0.04992,0.01366,0.00401,0.05791,0.09838,0.05674,0.19122,0.12956,0.17188,0.119,0.19,1.074,0.369,0.0,0.0,18.068,0.67,0.124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.541,0.283,5.446,0.066,1.446,2.015,0.732,-0.967,0.078,0.0,1.055,2.175,1.976,1.215,0.0,0.0,0.0,94.77,76.001,76.588,103.172,85.346,71.0,76.0,7.023,95.204,0.0,87.08,69.472,42.0,6.935,36.455,134.09,0.0
8.946,8.946,2.622,2.622,0.0,0.0,0.0,0.0,0.0,1.242,0.334,0.435,0.019,0.023,0.032,0.062,0.023,0.005,0.076,0.066,0.07,0.235,0.0,0.0,2.01089,2.01089,2.01089,2.01089,0.0,0.0,0.0,0.0,0.0,0.9528,0.2564,0.33348,0.01442,0.01795,0.02418,0.04793,0.01743,0.00401,0.05791,0.05045,0.05353,0.1804,0.0,0.0,0.119,0.243,1.067,0.367,0.0,0.0,17.307,0.691,0.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.611,0.327,5.521,0.054,0.777,1.117,0.873,-0.359,0.043,0.0,0.767,2.229,1.861,1.484,0.0,0.0,0.0,93.984,76.001,76.373,99.435,85.424,71.0,76.0,5.351,95.204,0.0,84.02,70.139,51.0,5.816,13.948,71.325,0.0
9.548,9.548,2.368,2.368,1.47,0.0,0.0,0.0,0.0,1.052,0.299,0.455,0.018,0.024,0.032,0.061,0.018,0.005,0.077,0.038,0.066,0.221,0.0,1.47,1.98784,1.98784,1.81591,1.81591,0.17193,0.0,0.0,0.0,0.0,0.80719,0.22934,0.34936,0.01393,0.01848,0.02418,0.04693,0.01413,0.00401,0.05904,0.02943,0.05032,0.16957,0.0,0.17193,0.119,0.197,1.063,0.365,0.0,0.0,15.571,0.674,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.619,0.358,5.376,0.038,-0.041,-0.004,1.045,0.279,0.02,0.0,0.477,2.119,1.728,1.554,0.0,0.0,0.0,92.493,76.002,76.274,94.198,85.437,71.0,76.0,4.052,95.305,0.0,80.96,70.362,60.0,5.816,0.0,0.0,0.0
8.56,8.56,2.078,2.078,1.468,0.0,0.0,0.0,0.0,0.951,0.27,0.327,0.015,0.022,0.032,0.06,0.014,0.005,0.08,0.027,0.063,0.212,0.0,1.468,1.76586,1.76586,1.59408,1.59408,0.17178,0.0,0.0,0.0,0.0,0.72951,0.20733,0.2509,0.01183,0.01716,0.02418,0.04593,0.01052,0.00384,0.06131,0.02102,0.04818,0.16236,0.0,0.17178,0.114,0.147,1.046,0.36,0.0,0.0,14.041,0.639,0.134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.38,0.344,4.657,0.017,-0.025,-0.003,1.076,0.486,0.025,0.0,0.478,1.907,1.581,1.116,0.0,0.0,0.0,90.754,76.002,76.334,89.767,85.405,71.0,76.0,4.954,95.505,0.0,80.96,70.365,60.0,8.053,0.0,0.0,0.0
5.519,5.519,1.617,1.617,0.0,0.0,0.0,0.0,0.0,0.766,0.229,0.166,0.01,0.019,0.032,0.057,0.009,0.003,0.065,0.018,0.056,0.188,0.0,0.0,1.24054,1.24054,1.24054,1.24054,0.0,0.0,0.0,0.0,0.0,0.58716,0.17559,0.12704,0.00777,0.01478,0.02418,0.04393,0.00691,0.00262,0.04996,0.01345,0.04282,0.14432,0.0,0.0,0.078,0.096,0.736,0.253,0.0,0.0,11.901,0.448,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.108,0.331,3.848,0.005,-0.215,-0.002,1.155,0.809,0.007,0.0,0.199,1.731,1.347,0.565,0.0,0.0,0.0,89.07,76.0,76.466,86.028,85.33,71.0,76.0,3.258,94.503,0.0,78.08,69.82,67.0,6.935,0.0,0.0,0.0
